,Spot,Up,Down
8422,171.039993,184.5,165.07
8423,160.080002,164.82,164.82
8424,176.919998,146.3,146.3
8425,171.669998,78.45,78.45
8426,173.759995,145.43,145.43
8427,169.940002,104.99,104.99
8428,166.190002,19.83,13.0
8429,152.410004,19.58,13.0
8430,151.279999,19.94,13.0
8431,149.429993,21.06,15.0
8432,155.320007,37.93,15.0
8433,159.050003,83.48,15.0
8434,166.690002,74.91,15.0
8435,162.990005,74.99,74.99
8436,149.779999,86.37,86.37
8437,133.610001,106.73,106.73
8438,133.570007,106.9,106.9
8439,140.309998,99.86,99.86
8440,153.089996,119.98,119.98
8441,154.759995,140.31,132.0
8442,149.979996,153.09,135.0
8443,119.919998,154.76,135.0
8444,74.959999,149.98,125.0
8445,42.790001,119.92,65.0
8446,19.16,74.96,8.0
8447,16.030001,42.79,-0.5
8448,15.01,19.4,-0.5
8449,13.75,16.03,-0.5
8450,14.0,15.01,-1.0
8451,14.88,13.75,-1.0
8452,15.03,14.0,-0.5
8453,15.34,14.88,0.0
8454,15.17,15.03,0.0
8455,17.360001,15.34,1.47
8456,20.43,15.17,15.17
8457,22.92,17.36,13.5
8458,59.900002,20.43,13.5
8459,80.209999,22.92,22.92
8460,54.990002,59.9,59.9
8461,59.950001,80.21,80.21
8462,85.599998,54.99,16.5
8463,99.989998,59.95,16.0
8464,133.779999,85.6,85.6
8465,181.809998,99.99,99.99
8466,197.759995,133.78,133.28
8467,173.729996,154.73,154.73
8468,125.889999,174.5,174.5
8469,108.5,160.01,160.01
8470,94.639999,125.89,125.89
8471,28.77,108.5,108.5
8472,34.91,94.64,94.64
8473,34.080002,40.28,28.77
8474,34.889999,58.46,34.91
8475,37.93,34.08,34.08
8476,93.5,34.89,34.89
8477,134.949997,37.93,31.0
8478,299.899994,93.5,30.0
8479,396.0,134.95,30.0
8480,433.470001,225.98,27.02
8481,410.029999,387.43,35.0
8482,373.779999,425.95,36.0
8483,353.299988,400.19,35.0
8484,325.100006,364.81,35.0
8485,359.51001,308.88,65.0
8486,404.920013,325.1,30.0
8487,428.820007,350.09,29.0
8488,439.970001,350.0,26.96
8489,460.079987,428.82,29.0
8490,465.980011,439.97,26.93
8491,442.730011,460.08,23.15
8492,424.0,308.9,20.0
8493,371.959991,259.92,20.0
8494,332.809998,211.5,24.0
8495,269.5,308.85,24.5
8496,283.899994,332.81,29.6
8497,298.089996,216.21,29.6
8498,293.200012,167.22,28.0
8499,294.140015,160.01,30.0
8500,291.119995,160.05,30.0
8501,322.480011,168.26,30.0
8502,399.980011,221.81,30.0
8503,471.019989,315.03,315.03
8504,510.019989,399.98,399.98
8505,513.580017,471.14,471.02
8506,503.390015,510.13,510.02
8507,480.0,513.69,513.58
8508,457.26001,503.5,503.39
8509,460.0,480.0,250.0
8510,476.209991,457.26,250.0
8511,505.130005,460.0,210.0
8512,539.909973,476.21,210.0
8513,620.0,650.0,505.13
8514,600.099976,650.0,539.91
8515,520.0,620.0,209.91
8516,470.589996,600.1,210.0
8517,408.25,520.0,520.0
8518,342.630005,470.59,470.59
8519,269.799988,470.66,408.25
8520,331.440002,379.73,342.63
8521,322.600006,300.0,261.97
8522,311.220001,250.0,227.97
8523,297.179993,250.0,213.43
8524,309.070007,250.0,210.09
8525,307.440002,250.0,213.87
8526,419.459991,226.96,226.96
8527,505.339996,307.44,307.44
8528,520.590027,419.46,419.46
8529,506.929993,505.34,505.34
8530,485.51001,520.59,520.59
8531,429.25,506.93,366.98
8532,395.690002,485.51,365.0
8533,400.540009,429.25,429.25
8534,471.130005,395.69,395.69
8535,499.429993,400.54,400.54
8536,505.5,471.13,471.13
8537,529.200012,499.43,170.0
8538,503.709991,505.5,170.0
8539,450.279999,529.2,130.0
8540,370.339996,489.51,97.0
8541,283.920013,341.29,341.29
8542,325.0,171.57,171.57
8543,208.5,246.57,246.57
8544,233.279999,250.0,196.12
8545,226.550003,235.49,145.28
8546,224.229996,255.0,181.9
8547,222.470001,235.0,149.96
8548,225.550003,231.0,102.57
8549,225.440002,231.0,98.22
8550,350.040009,227.0,119.96
8551,391.540009,199.18,199.18
8552,425.359985,199.92,199.92
8553,299.98999,200.08,200.08
8554,312.440002,193.74,193.74
8555,380.0,176.42,176.42
8556,341.070007,169.95,169.95
8557,300.26001,154.9,154.9
8558,299.309998,147.43,147.43
8559,306.809998,144.13,144.13
8560,350.0,213.94,213.94
8561,355.040009,294.0,244.06
8562,294.980011,246.99,246.99
8563,230.929993,249.95,249.95
8564,206.789993,243.03,243.03
8565,150.5,220.03,220.03
8566,138.300003,166.33,166.33
8567,98.849998,150.5,18.5
8568,110.059998,138.3,18.5
8569,98.510002,98.85,16.0
8570,91.940002,107.42,16.0
8571,100.169998,96.14,19.5
8572,110.089996,89.29,20.26
8573,110.0,81.78,20.3
8574,88.879997,85.8,20.33
8575,158.0,100.08,20.35
8576,207.729996,86.74,21.11
8577,201.809998,115.94,18.74
8578,203.100006,146.68,20.0
8579,209.139999,189.83,20.0
8580,189.960007,189.9,21.0
8581,164.149994,179.91,21.0
8582,150.960007,189.96,99.0
8583,185.229996,164.15,100.0
8584,248.5,150.96,100.0
8585,278.570007,185.23,79.0
8586,229.080002,177.7,79.0
8587,226.979996,154.74,107.58
8588,226.589996,160.17,65.0
8589,228.610001,144.02,65.0
8590,227.160004,121.38,65.0
8591,229.309998,140.45,70.0
8592,180.25,110.1,82.0
8593,157.149994,107.84,107.84
8594,184.070007,122.0,89.22
8595,162.220001,122.0,77.17
8596,135.0,148.0,68.25
8597,125.309998,140.0,74.82
8598,128.029999,80.02,25.5
8599,119.489998,81.28,25.5
8600,174.470001,91.63,25.5
8601,206.550003,119.49,25.5
8602,218.059998,130.46,25.5
8603,227.179993,150.06,27.0
8604,223.309998,179.94,60.0
8605,221.429993,171.42,70.0
8606,222.179993,150.01,86.2
8607,226.0,150.95,19.0
8608,231.520004,141.86,19.0
8609,244.809998,159.75,19.0
